timeStamp,pred,power
2024-07-11 08:00:00,6.4392114,0.23
2024-07-11 08:00:00,6.4392114,0.23
2024-07-11 08:15:00,6.950326,0.02
2024-07-11 08:15:00,6.950326,0.02
2024-07-11 08:15:00,6.950326,0.02
2024-07-11 08:15:00,6.950326,0.02
2024-07-11 08:30:00,6.950326,0.0
2024-07-11 08:30:00,6.950326,0.0
2024-07-11 08:30:00,6.950326,0.0
2024-07-11 08:30:00,6.950326,0.0
2024-07-11 08:45:00,6.950326,0.0
2024-07-11 08:45:00,6.950326,0.0
2024-07-11 08:45:00,6.950326,0.0
2024-07-11 08:45:00,6.950326,0.0
2024-07-11 09:00:00,6.950326,0.0
2024-07-11 09:00:00,6.950326,0.0
2024-07-11 09:00:00,6.950326,0.0
2024-07-11 09:00:00,6.950326,0.0
2024-07-11 09:15:00,6.950326,0.0
2024-07-11 09:15:00,6.950326,0.0
2024-07-11 09:15:00,6.950326,0.0
2024-07-11 09:15:00,6.950326,0.0
2024-07-11 09:30:00,7.015912,0.0
2024-07-11 09:30:00,7.015912,0.0
2024-07-11 09:30:00,7.015912,0.0
2024-07-11 09:30:00,7.015912,0.0
2024-07-11 09:45:00,7.1722383,0.0
2024-07-11 09:45:00,7.1722383,0.0
2024-07-11 09:45:00,7.184149,0.0
2024-07-11 09:45:00,7.184149,0.0
2024-07-11 10:00:00,7.574752,0.0
2024-07-11 10:00:00,7.574752,0.0
2024-07-11 10:00:00,7.574752,0.0
2024-07-11 10:00:00,7.574752,0.0
2024-07-11 10:15:00,7.574752,0.0
2024-07-11 10:15:00,7.574752,0.0
2024-07-11 10:15:00,7.574752,0.0
2024-07-11 10:15:00,7.574752,0.0
2024-07-11 10:30:00,7.574752,0.0
2024-07-11 10:30:00,7.574752,0.0
2024-07-11 10:30:00,7.574752,0.0
2024-07-11 10:30:00,7.574752,0.0
2024-07-11 10:45:00,7.574752,0.0
2024-07-11 10:45:00,7.574752,0.0
2024-07-11 10:45:00,7.0278225,0.0
2024-07-11 10:45:00,7.0278225,0.0
2024-07-11 11:00:00,7.184149,0.06
2024-07-11 11:00:00,7.184149,0.06
2024-07-11 11:00:00,7.184149,0.06
2024-07-11 11:00:00,7.184149,0.06
2024-07-11 11:15:00,7.574752,0.01
2024-07-11 11:15:00,7.574752,0.01
2024-07-11 11:15:00,9.62723,0.01
2024-07-11 11:15:00,9.62723,0.01
2024-07-11 11:30:00,11.706901,0.23
2024-07-11 11:30:00,11.706901,0.23
2024-07-11 11:30:00,13.353451,0.23
2024-07-11 11:30:00,13.353451,0.23
2024-07-11 11:45:00,14.413208,0.27
2024-07-11 11:45:00,14.413208,0.27
2024-07-11 11:45:00,15.759001,0.27
2024-07-11 11:45:00,15.759001,0.27
2024-07-11 12:00:00,15.759001,0.67
2024-07-11 12:00:00,15.759001,0.67
2024-07-11 12:00:00,15.728956,0.67
2024-07-11 12:00:00,15.728956,0.67
2024-07-11 12:15:00,15.728956,1.34
2024-07-11 12:15:00,15.728956,1.34
2024-07-11 12:15:00,15.728956,1.34
2024-07-11 12:15:00,15.728956,1.34
2024-07-11 12:30:00,16.792341,2.38
2024-07-11 12:30:00,16.792341,2.38
2024-07-11 12:30:00,16.792341,2.38
2024-07-11 12:30:00,16.792341,2.38
2024-07-11 12:45:00,18.492603,3.52
2024-07-11 12:45:00,18.492603,3.52
2024-07-11 12:45:00,18.624634,3.52
2024-07-11 12:45:00,18.624634,3.52
2024-07-11 13:00:00,19.41334,6.09
2024-07-11 13:00:00,19.41334,6.09
2024-07-11 13:00:00,19.41334,6.09
2024-07-11 13:00:00,19.41334,6.09
2024-07-11 13:15:00,20.357292,8.97
2024-07-11 13:15:00,20.357292,8.97
2024-07-11 13:15:00,20.482544,8.97
2024-07-11 13:15:00,20.482544,8.97
2024-07-11 13:30:00,20.482544,7.43
2024-07-11 13:30:00,20.482544,7.43
2024-07-11 13:30:00,21.088606,7.43
2024-07-11 13:30:00,21.088606,7.43
2024-07-11 13:45:00,21.31808,7.01
2024-07-11 13:45:00,21.31808,7.01
2024-07-11 13:45:00,21.31808,7.01
2024-07-11 13:45:00,21.31808,7.01
2024-07-11 14:00:00,21.31808,8.51
2024-07-11 14:00:00,21.31808,8.51
2024-07-11 14:00:00,20.712019,8.51
2024-07-11 14:00:00,20.712019,8.51
2024-07-11 14:15:00,20.712019,9.23
2024-07-11 14:15:00,20.712019,9.23
2024-07-11 14:15:00,20.712019,9.23
2024-07-11 14:15:00,20.712019,9.23
2024-07-11 14:30:00,20.712019,13.72
2024-07-11 14:30:00,20.712019,13.72
2024-07-11 14:30:00,20.712019,13.72
2024-07-11 14:30:00,20.712019,13.72
2024-07-11 14:45:00,20.712019,16.86
2024-07-11 14:45:00,20.712019,16.86
2024-07-11 14:45:00,20.712019,16.86
2024-07-11 14:45:00,20.712019,16.86
2024-07-11 15:00:00,20.712019,16.76
2024-07-11 15:00:00,20.712019,16.76
2024-07-11 15:00:00,20.482544,16.76
2024-07-11 15:00:00,20.482544,16.76
2024-07-11 15:15:00,20.482544,16.25
2024-07-11 15:15:00,20.482544,16.25
2024-07-11 15:15:00,20.482544,16.25
2024-07-11 15:15:00,20.482544,16.25
2024-07-11 15:30:00,20.482544,18.7
2024-07-11 15:30:00,20.482544,18.7
2024-07-11 15:30:00,20.482544,18.7
2024-07-11 15:30:00,20.482544,18.7
2024-07-11 15:45:00,20.482544,19.0
2024-07-11 15:45:00,20.482544,19.0
2024-07-11 15:45:00,20.482544,19.0
2024-07-11 15:45:00,20.482544,19.0
2024-07-11 16:00:00,20.482544,19.67
2024-07-11 16:00:00,20.482544,19.67
2024-07-11 16:00:00,20.482544,19.67
2024-07-11 16:00:00,20.482544,19.67
2024-07-11 16:15:00,20.482544,18.86
2024-07-11 16:15:00,20.482544,18.86
2024-07-11 16:15:00,20.482544,18.86
2024-07-11 16:15:00,20.482544,18.86
2024-07-11 16:30:00,20.482544,18.5
2024-07-11 16:30:00,20.482544,18.5
2024-07-11 16:30:00,20.482544,18.5
2024-07-11 16:30:00,20.482544,18.5
2024-07-11 16:45:00,20.482544,21.05
2024-07-11 16:45:00,20.482544,21.05
2024-07-11 16:45:00,20.482544,21.05
2024-07-11 16:45:00,20.482544,21.05
2024-07-11 17:00:00,20.482544,20.53
2024-07-11 17:00:00,20.482544,20.53
